"","adap-org","alg-geom","astro-ph","astro-ph.CO","astro-ph.EP","astro-ph.GA","astro-ph.HE","astro-ph.IM","astro-ph.SR","atom-ph","chao-dyn","chem-ph","cmp-lg","comp-gas","cond-mat","cond-mat.dis-nn","cond-mat.mes-hall","cond-mat.mtrl-sci","cond-mat.other","cond-mat.quant-gas","cond-mat.soft","cond-mat.stat-mech","cond-mat.str-el","cond-mat.supr-con","cs.AI","cs.AR","cs.CC","cs.CE","cs.CG","cs.CL","cs.CR","cs.CV","cs.CY","cs.DB","cs.DC","cs.DL","cs.DM","cs.DS","cs.ET","cs.FL","cs.GR","cs.GT","cs.HC","cs.IR","cs.IT","cs.LG","cs.LO","cs.MA","cs.MM","cs.MS","cs.NA","cs.NE","cs.NI","cs.OH","cs.OS","cs.PF","cs.PL","cs.RO","cs.SC","cs.SD","cs.SE","cs.SI","cs.SY","dg-ga","econ.EM","econ.GN","eess.AS","eess.IV","eess.SP","funct-an","gr-qc","hep-ex","hep-lat","hep-ph","hep-th","math-ph","math.AC","math.AG","math.AP","math.AT","math.CA","math.CO","math.CT","math.CV","math.DG","math.DS","math.FA","math.GM","math.GN","math.GR","math.GT","math.HO","math.KT","math.LO","math.MG","math.NA","math.NT","math.OA","math.OC","math.PR","math.QA","math.RA","math.RT","math.SG","math.SP","math.ST","mtrl-th","nlin.AO","nlin.CD","nlin.CG","nlin.PS","nlin.SI","nucl-ex","nucl-th","patt-sol","physics.acc-ph","physics.ao-ph","physics.app-ph","physics.atm-clus","physics.atom-ph","physics.bio-ph","physics.chem-ph","physics.class-ph","physics.comp-ph","physics.data-an","physics.ed-ph","physics.flu-dyn","physics.gen-ph","physics.geo-ph","physics.hist-ph","physics.ins-det","physics.med-ph","physics.optics","physics.plasm-ph","physics.pop-ph","physics.soc-ph","physics.space-ph","q-alg","q-bio.BM","q-bio.CB","q-bio.GN","q-bio.MN","q-bio.NC","q-bio.OT","q-bio.PE","q-bio.QM","q-bio.SC","q-bio.TO","q-fin.CP","q-fin.EC","q-fin.GN","q-fin.MF","q-fin.PM","q-fin.PR","q-fin.RM","q-fin.ST","q-fin.TR","quant-ph","solv-int","stat.AP","stat.CO","stat.ME","stat.ML","stat.OT","supr-con"
"power_law",2,1,257,117,40,114,81,15,109,0,4,5,2,1,14,60,423,246,53,163,111,176,464,253,5,3,4,10,7,5,4,58,3,4,4,6,8,7,3,2,4,4,3,4,16,12,5,4,4,3,4,4,6,3,2,2,5,6,2,5,3,8,4,1,3,1,4,4,5,1,34,97,34,262,37,7,2,3,9,4,3,8,1,3,5,11,3,2,1,3,6,1,1,2,4,20,3,2,6,7,3,1,5,4,6,7,2,13,29,5,33,7,91,253,3,6,10,5,5,74,14,12,9,8,11,5,23,9,5,2,16,8,78,34,3,39,6,1,9,4,3,5,14,3,13,7,4,3,3,3,4,2,2,3,3,7,8,332,1,11,5,16,7,1,2
"gamma_gamma",2,0,183,114,32,89,79,13,84,0,3,4,2,1,14,18,161,51,15,29,31,58,117,65,5,2,3,5,7,4,3,27,3,3,4,6,7,6,3,2,3,4,3,3,13,10,4,4,2,2,4,4,5,2,2,1,5,5,1,3,2,6,4,1,2,1,4,2,4,1,32,94,22,180,25,6,2,2,6,3,2,7,1,2,3,8,3,1,1,2,5,1,1,1,4,14,3,2,6,7,3,1,4,3,3,6,2,6,21,3,24,6,36,88,3,5,6,4,4,24,9,10,7,6,10,4,18,6,3,2,11,6,17,28,3,27,4,1,7,3,3,5,11,2,10,6,4,3,3,2,3,1,2,3,2,4,5,70,1,10,5,12,6,1,1
"cumulative_distribution",2,0,155,94,28,87,79,10,83,0,3,3,2,1,10,16,59,49,14,26,27,43,102,63,4,2,2,4,7,4,3,20,2,3,3,4,6,6,3,2,3,4,3,3,12,8,4,3,2,2,4,4,5,2,2,1,5,5,1,2,2,5,3,1,2,1,3,2,3,1,24,78,21,115,20,6,1,2,5,3,2,7,1,2,3,7,2,1,1,2,5,1,1,1,3,14,2,2,6,6,3,1,4,3,2,6,2,6,15,3,9,4,34,81,3,4,6,3,4,21,6,8,5,6,6,3,16,5,3,2,10,5,14,13,2,17,4,1,6,3,3,4,10,2,10,5,3,3,2,2,3,1,2,3,2,4,4,59,1,8,5,10,6,1,1
"traffic_major",2,0,131,84,26,85,53,10,74,0,3,3,1,1,8,13,54,41,10,23,24,37,73,51,4,2,2,4,5,4,3,19,2,3,3,4,6,5,3,2,3,4,3,2,11,7,3,3,2,2,3,4,5,2,1,1,5,4,1,2,2,4,3,1,2,1,3,2,3,0,21,57,19,110,18,6,1,2,5,3,2,7,1,2,3,7,2,1,1,2,4,1,1,1,3,12,2,2,6,6,2,1,4,2,2,5,2,5,11,3,7,3,25,61,2,4,6,3,3,18,6,7,5,6,5,2,14,4,3,1,10,5,13,11,2,11,4,1,5,3,3,4,7,2,9,5,3,3,2,2,3,1,1,2,2,4,4,55,1,7,5,9,5,1,1
"major_road",2,0,129,82,23,69,47,9,68,0,2,3,1,0,8,12,53,34,8,23,24,33,63,49,4,1,2,3,5,3,3,15,2,3,3,4,5,5,2,1,3,4,2,2,11,6,2,3,2,2,3,4,4,2,1,1,4,4,1,2,2,4,3,1,1,1,3,2,3,0,20,49,17,103,18,6,1,2,5,3,2,5,1,2,3,6,2,1,1,2,4,1,1,1,3,12,2,2,6,6,2,1,4,2,2,5,2,5,10,2,7,3,21,36,2,4,6,3,3,13,5,7,4,5,4,2,13,4,3,1,9,4,12,10,2,10,4,1,5,2,3,4,6,1,9,5,3,3,2,2,3,1,1,2,2,4,4,53,0,7,5,9,5,1,1
"road_circle",2,0,118,81,21,59,47,9,54,0,2,2,1,0,7,12,52,32,8,17,23,28,43,28,4,1,2,3,5,3,3,14,2,3,3,4,4,4,2,1,3,4,2,2,9,6,2,2,2,2,3,3,4,2,1,1,4,4,1,2,2,4,3,1,1,1,3,2,3,0,19,48,15,101,16,6,1,2,5,3,2,5,1,2,3,6,2,1,1,2,4,1,1,1,2,11,2,1,5,6,2,1,3,2,2,5,2,4,9,2,5,3,20,35,2,4,6,3,3,11,5,6,4,5,4,2,12,3,3,1,9,4,11,9,2,9,3,1,5,2,2,4,6,1,9,4,2,3,2,2,3,1,1,2,2,3,4,52,0,6,4,9,5,1,1
"law_exponent",2,0,99,65,21,56,46,9,54,0,2,2,1,0,7,11,47,31,8,17,22,28,41,27,4,1,2,3,4,3,3,14,2,3,3,4,4,4,2,1,3,4,2,2,9,6,2,2,2,2,3,3,4,2,1,1,3,4,1,2,2,4,3,0,1,1,2,2,2,0,19,42,15,100,15,5,1,2,5,2,2,5,1,2,3,5,2,1,1,2,4,1,1,1,2,11,2,1,5,5,2,1,2,2,2,4,2,4,9,2,5,3,20,33,2,4,5,3,3,10,5,6,4,5,4,2,12,3,3,1,9,3,10,9,1,9,3,1,4,2,2,4,6,1,8,4,2,2,2,1,2,1,1,2,2,3,4,51,0,5,4,7,4,1,1
"distribution_returns",2,0,94,64,18,56,40,8,52,0,2,2,1,0,7,10,47,28,8,16,22,27,40,25,3,1,2,3,4,3,3,13,2,3,3,3,4,3,2,1,2,4,2,2,9,6,2,2,2,2,3,3,4,2,1,1,2,4,1,2,2,4,3,0,1,1,2,2,2,0,18,35,14,92,15,5,1,2,4,2,2,5,1,2,2,4,2,1,1,2,4,1,1,1,2,10,2,1,5,5,2,1,2,2,2,4,2,4,9,2,5,3,20,30,2,4,4,3,3,10,5,6,4,5,4,2,11,3,3,1,8,3,9,8,1,8,3,0,4,2,2,4,6,1,8,4,2,2,2,1,2,1,1,2,2,3,4,50,0,5,4,6,4,1,1
"dotted_line",1,0,88,59,17,50,35,8,49,0,2,2,1,0,6,9,42,27,8,15,20,27,38,24,3,1,2,3,4,3,3,12,2,3,3,3,4,3,2,1,2,4,2,2,8,6,2,2,2,2,3,3,3,2,1,1,2,4,1,2,2,4,3,0,1,1,2,2,2,0,17,34,14,91,15,5,1,2,4,2,2,4,1,2,2,4,2,1,1,2,4,1,1,1,2,10,2,1,5,5,2,1,2,2,1,4,2,4,7,2,4,3,16,28,2,4,4,3,3,9,5,6,4,4,4,2,11,3,2,1,8,3,9,8,1,7,3,0,4,2,2,4,5,1,7,4,2,2,2,1,2,1,1,2,1,2,4,50,0,5,4,6,4,1,1
"line_indicating",1,0,80,56,16,43,31,8,45,0,2,2,1,0,6,9,42,23,8,15,20,26,37,24,3,1,2,3,4,3,2,12,2,2,3,3,4,3,2,1,2,3,2,2,8,6,2,2,2,2,3,3,3,2,1,1,2,4,1,2,2,3,3,0,1,1,2,2,2,0,16,30,13,91,14,5,1,2,4,2,2,4,1,1,2,4,2,1,1,2,3,1,1,1,2,10,2,1,4,5,2,1,2,2,1,4,2,4,7,2,4,3,16,28,2,3,4,3,2,8,5,5,3,4,4,2,11,3,2,1,7,3,9,7,1,7,3,0,4,2,2,4,5,1,7,3,2,2,2,1,2,1,1,2,1,2,3,39,0,5,4,6,4,1,1
