"X","keyword","all","not_ml","ml"
1,"magnetic_field",1963,2049,0
2,"cross_section",1146,1224,0
3,"best_fit",875,915,0
4,"phase_diagram",791,761,0
5,"ground_state",756,781,0
6,"standard_deviation",708,714,0
7,"time_evolution",679,643,0
8,"function_time",636,697,0
9,"monte_carlo",593,583,0
10,"cross_sections",578,598,0
11,"power_spectrum",576,605,0
12,"stellar_mass",547,484,0
13,"power_law",497,513,0
14,"temperature_dependence",468,531,0
15,"electric_field",455,444,0
16,"initial_conditions",454,462,0
17,"gev_gev",441,390,0
18,"dark_matter",435,429,0
19,"function_temperature",434,382,0
20,"correlation_function",409,393,0
21,"parameter_space",407,427,0
22,"open_symbols",397,395,0
23,"invariant_mass",383,381,0
24,"star_formation",379,369,0
25,"chemical_potential",378,339,0
26,"open_squares",368,370,0
27,"angular_momentum",367,389,0
28,"density_states",360,356,0
29,"surface_brightness",354,343,0
30,"phase_transition",351,323,0
31,"time_series",345,360,0
32,"probability_distribution",342,294,0
33,"phi_phi",340,364,0
34,"energy_density",325,362,0
35,"logarithmic_scale",311,311,0
36,"order_parameter",308,316,0
37,"unit_cell",307,339,0
38,"phase_space",306,258,0
39,"schematic_representation",298,293,0
40,"surface_density",298,306,0
41,"number_density",296,275,0
42,"boundary_conditions",294,316,0
43,"total_number",293,279,0
44,"distribution_function",286,324,0
45,"free_energy",286,294,0
46,"band_structure",285,249,0
47,"kinetic_energy",284,295,0
48,"contour_levels",284,257,0
49,"linear_fit",284,260,0
50,"velocity_dispersion",277,288,0
51,"probability_density",277,271,0
52,"mjy_beam",277,234,0
53,"density_profile",276,242,0
54,"omega__omega_",273,300,0
55,"mass_function",272,302,0
56,"power_spectra",271,295,0
57,"real_part",269,254,0
58,"model_parameters",268,233,0
59,"magnetic_fields",267,230,0
60,"function_number",267,281,0
61,"flux_density",262,229,0
62,"positive_negative",251,225,0
63,"system_size",246,231,0
64,"transverse_momentum",245,262,0
65,"initial_state",243,244,0
66,"guide_eye",242,265,0
67,"radial_velocity",242,286,0
68,"density_function",241,222,0
69,"field_strength",228,226,0
70,"mass_distribution",227,256,0
71,"higgs_boson",225,196,0
72,"imaginary_part",223,241,0
73,"mev_mev",222,226,0
74,"initial_condition",222,201,0
75,"north_east",220,212,0
76,"energy_spectrum",218,226,0
77,"schematic_diagram",218,231,0
78,"eta_eta",218,214,0
79,"optical_depth",217,221,0
80,"spectral_index",216,219,0
81,"along_direction",215,228,0
82,"function_distance",212,0,0
83,"density_profiles",211,217,0
84,"feynman_diagrams",211,239,0
