"","termcount","grouping","keyword"
"1",1963,"all","magnetic_field"
"2",1146,"all","cross_section"
"3",875,"all","best_fit"
"4",791,"all","phase_diagram"
"5",756,"all","ground_state"
"6",708,"all","standard_deviation"
"7",679,"all","time_evolution"
"8",636,"all","function_time"
"9",593,"all","monte_carlo"
"10",578,"all","cross_sections"
"11",576,"all","power_spectrum"
"12",547,"all","stellar_mass"
"13",497,"all","power_law"
"14",468,"all","temperature_dependence"
"15",455,"all","electric_field"
"16",454,"all","initial_conditions"
"17",441,"all","gev_gev"
"18",435,"all","dark_matter"
"19",434,"all","function_temperature"
"20",409,"all","correlation_function"
"21",407,"all","parameter_space"
"22",397,"all","open_symbols"
"23",383,"all","invariant_mass"
"24",379,"all","star_formation"
"25",378,"all","chemical_potential"
"26",368,"all","open_squares"
"27",367,"all","angular_momentum"
"28",360,"all","density_states"
"29",354,"all","surface_brightness"
"30",351,"all","phase_transition"
"31",345,"all","time_series"
"32",342,"all","probability_distribution"
"33",340,"all","phi_phi"
"34",325,"all","energy_density"
"35",311,"all","logarithmic_scale"
"36",308,"all","order_parameter"
"37",307,"all","unit_cell"
"38",306,"all","phase_space"
"39",298,"all","schematic_representation"
"40",298,"all","surface_density"
"41",296,"all","number_density"
"42",294,"all","boundary_conditions"
"43",293,"all","total_number"
"44",286,"all","distribution_function"
"45",286,"all","free_energy"
"46",285,"all","band_structure"
"47",284,"all","kinetic_energy"
"48",284,"all","contour_levels"
"49",284,"all","linear_fit"
"50",277,"all","velocity_dispersion"
"51",277,"all","probability_density"
"52",277,"all","mjy_beam"
"53",276,"all","density_profile"
"54",273,"all","omega__omega_"
"55",272,"all","mass_function"
"56",271,"all","power_spectra"
"57",269,"all","real_part"
"58",268,"all","model_parameters"
"59",267,"all","magnetic_fields"
"60",267,"all","function_number"
"61",262,"all","flux_density"
"62",251,"all","positive_negative"
"63",246,"all","system_size"
"64",245,"all","transverse_momentum"
"65",243,"all","initial_state"
"66",242,"all","guide_eye"
"67",242,"all","radial_velocity"
"68",241,"all","density_function"
"69",228,"all","field_strength"
"70",227,"all","mass_distribution"
"71",225,"all","higgs_boson"
"72",223,"all","imaginary_part"
"73",222,"all","mev_mev"
"74",222,"all","initial_condition"
"75",220,"all","north_east"
"76",218,"all","energy_spectrum"
"77",218,"all","schematic_diagram"
"78",218,"all","eta_eta"
"79",217,"all","optical_depth"
"80",216,"all","spectral_index"
"81",215,"all","along_direction"
"82",212,"all","function_distance"
"83",211,"all","density_profiles"
"84",211,"all","feynman_diagrams"
"85",209,"all","specific_heat"
"86",207,"all","energy_levels"
"87",206,"all","experimental_setup"
"88",204,"all","density_distribution"
"89",204,"all","energy_distribution"
"90",202,"all","open_triangles"
"91",201,"all","differential_cross"
"92",199,"all","final_state"
"93",197,"all","total_energy"
"94",197,"all","numerical_solution"
"95",197,"all","function_redshift"
"96",196,"all","halo_mass"
"97",193,"all","steady_state"
"98",193,"all","growth_rate"
"99",193,"all","wave_function"
"100",191,"all","ket_ket"
"101",2049,"not_ml","magnetic_field"
"102",1224,"not_ml","cross_section"
"103",915,"not_ml","best_fit"
"104",781,"not_ml","ground_state"
"105",761,"not_ml","phase_diagram"
"106",714,"not_ml","standard_deviation"
"107",697,"not_ml","function_time"
